,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
6245,tt0082984,0,1981,105,Drama,Fantasy,Thriller,nm0000940,Reborn,4.7,237,Bigas Luna
6246,tt0090644,0,1987,86,Horror,Thriller,,nm0000940,Angoisse,6.7,4039,Bigas Luna
6247,tt0099484,0,1990,95,Drama,,,nm0000940,Les vies de Loulou,5.5,4026,Bigas Luna
6248,tt0075363,0,1976,120,Drama,History,,nm0349425,La dernière Cène,7.5,650,Tomás Gutiérrez Alea
6249,tt0087387,0,1983,68,Drama,,,nm0349425,Jusqu'à un certain point,6.7,131,Tomás Gutiérrez Alea
6250,tt0075375,0,1976,96,Action,Crime,Drama,nm0219959,Uomini si nasce poliziotti si muore,6.5,1528,Ruggero Deodato
6251,tt0078437,0,1977,88,Adventure,Horror,,nm0219959,Le dernier monde cannibale,6.0,3879,Ruggero Deodato
6252,tt0078438,0,1978,105,Drama,,,nm0219959,Le Dernier souffle,6.4,75,Ruggero Deodato
6253,tt0078935,0,1980,95,Adventure,Horror,,nm0219959,Terreur en Amazonie,5.8,57783,Ruggero Deodato
6254,tt0078989,0,1979,96,Action,Crime,Thriller,nm0219959,SOS Concorde,5.5,594,Ruggero Deodato
6255,tt0080503,0,1980,91,Horror,Thriller,,nm0219959,La Maison au fond du parc,5.7,5592,Ruggero Deodato
6256,tt0086135,0,1983,92,Action,Sci-Fi,,nm0219959,Atlantis Interceptors,4.9,2157,Ruggero Deodato
6257,tt0089338,0,1984,90,Adventure,Horror,Thriller,nm0219959,Amazonia: La jungle blanche,5.7,2486,Ruggero Deodato
6258,tt0090788,0,1986,90,Horror,Mystery,,nm0219959,Body Count,4.8,2310,Ruggero Deodato
6259,tt0091425,0,1986,84,Action,Adventure,Drama,nm0219959,Le loup du désert,3.5,188,Ruggero Deodato
6260,tt0092615,0,1987,87,Action,Adventure,Fantasy,nm0219959,Les Barbarians,4.9,4572,Ruggero Deodato
